OrgID,Department,Employee_Number,Telework Eligible Class,Work Schedule,1 Way Commute Miles,1 Way Commute Minutes,Telework Days,Report Date
7760,DGS,DGS03057,Yes,Standard,8.56,14.38,2,10/18/2021
7760,DGS,DGS03058,Yes,Standard,53.78,49.65,2,10/18/2021
7760,DGS,DGS03059,Yes,Standard,21.72,31.35,5,10/18/2021
7760,DGS,DGS03060,Yes,Standard,3.91,13.08,5,10/18/2021
7760,DGS,DGS03061,Yes,Standard,11.1,15.22,5,10/18/2021
7760,DGS,DGS03062,Yes,Standard,12.51,17.17,0,10/18/2021
7760,DGS,DGS03063,Yes,Standard,12.33,18.68,4,10/18/2021
7760,DGS,DGS03064,Yes,Standard,26.42,34.22,5,10/18/2021
7760,DGS,DGS03065,Yes,Standard,9.2,15.55,0,10/18/2021
7760,DGS,DGS03066,Yes,Standard,6.59,10.8,2,10/18/2021
7760,DGS,DGS03067,Yes,Standard,13.98,17.28,0,10/18/2021
7760,DGS,DGS03068,Yes,Standard,6.56,13.27,5,10/18/2021
7760,DGS,DGS03069,Yes,Standard,42.5,47.38,3,10/18/2021
7760,DGS,DGS03070,Yes,Standard,1.1,5.17,2,10/18/2021
7760,DGS,DGS03072,Yes,Standard,5.6,10.48,0,10/18/2021
7760,DGS,DGS03073,Yes,Standard,17.87,22.37,1,10/18/2021
7760,DGS,DGS03074,Yes,Standard,516.83,435.78,0,10/18/2021
7760,DGS,DGS03075,Yes,Standard,9.12,13.6,1,10/18/2021
7760,DGS,DGS03076,Yes,Standard,20.05,23.08,0,10/18/2021
7760,DGS,DGS03077,Yes,Standard,9.08,14.07,0,10/18/2021
7760,DGS,DGS03078,Yes,Standard,23.54,27.27,5,10/18/2021
7760,DGS,DGS03079,Yes,Standard,8.95,14.85,5,10/18/2021
7760,DGS,DGS03080,Yes,Standard,121.42,110.22,5,10/18/2021
7760,DGS,DGS03081,Yes,Standard,11.49,17.82,5,10/18/2021
7760,DGS,DGS03082,Yes,Standard,7.2,12.73,5,10/18/2021
7760,DGS,DGS03083,Yes,Standard,17.55,23.1,2,10/18/2021
7760,DGS,DGS03084,Yes,Standard,8.53,11.82,5,10/18/2021
7760,DGS,DGS03085,Yes,Standard,21.06,28.12,0,10/18/2021
7760,DGS,DGS03086,Yes,Standard,2.68,9.83,5,10/18/2021
7760,DGS,DGS03087,Yes,Standard,7.66,16.48,5,10/18/2021
7760,DGS,DGS03088,Yes,Standard,4.12,9.61,2,10/18/2021
7760,DGS,DGS03089,Yes,Standard,20.36,33.37,4,10/18/2021
7760,DGS,DGS03090,Yes,Standard,24.84,37.61,0,10/18/2021
7760,DGS,DGS03091,Yes,Standard,14.58,27.04,0,10/18/2021
7760,DGS,DGS03092,Yes,Standard,25.69,37.04,5,10/18/2021
7760,DGS,DGS03093,Yes,Standard,15.61,27.56,1,10/18/2021
7760,DGS,DGS03094,Yes,Standard,5.55,11.8,5,10/18/2021
7760,DGS,DGS03095,Yes,Standard,17.57,30.66,2,10/18/2021
7760,DGS,DGS03096,Yes,Standard,53.1,73.7,4,10/18/2021
7760,DGS,DGS03097,Yes,Standard,9.43,23,5,10/18/2021
7760,DGS,DGS03098,Yes,Standard,16.99,25.06,5,10/18/2021
7760,DGS,DGS03099,Yes,Standard,5.09,12.14,0,10/18/2021
7760,DGS,DGS03100,Yes,Standard,7.4,15.89,5,10/18/2021
7760,DGS,DGS03101,Yes,Standard,11.69,24.77,1,10/18/2021
7760,DGS,DGS03102,Yes,Standard,16.29,35.19,0,10/18/2021
7760,DGS,DGS03103,Yes,Standard,7.76,16.74,0,10/18/2021
7760,DGS,DGS03104,Yes,Standard,12.48,21.72,5,10/18/2021
7760,DGS,DGS03105,Yes,Standard,15.4,28.84,0,10/18/2021
7760,DGS,DGS03106,Yes,Standard,4.57,13.61,0,10/18/2021
7760,DGS,DGS03107,Yes,Standard,13.05,26.45,2,10/18/2021
7760,DGS,DGS03108,Yes,Standard,29.76,38.16,3,10/18/2021
7760,DGS,DGS03109,Yes,Standard,15.74,29.67,4,10/18/2021
7760,DGS,DGS03110,Yes,Standard,8.08,18.07,3,10/18/2021
7760,DGS,DGS03111,Yes,Standard,13.4,26.68,5,10/18/2021
7760,DGS,DGS03112,Yes,Standard,8.39,20.68,5,10/18/2021
7760,DGS,DGS03113,Yes,Standard,16.48,34.99,5,10/18/2021
